Table 1
Player,Nation,Pos,Squad,Min,Gls▼,Ast,Gls,Ast,xG,xA,xG,xA
Jordi Alba\4601e194,es ESP,DF,es Barcelona,373,0,1,0.00,0.24,0.2,0.8,0.05,0.19
Raúl Albiol\4bd414c1,es ESP,DF,es Villarreal,604,0,0,0.00,0.00,0.0,0.0,0.01,0.00
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,eng Liverpool,353,0,2,0.00,0.51,0.1,0.7,0.03,0.19
Alisson\7a2e46a8,br BRA,GK,eng Liverpool,630,0,0,0.00,0.00,0.0,0.0,0.00,0.00
André Almeida\67b3d74b,pt POR,DF,pt Benfica,235,0,0,0.00,0.00,0.0,0.0,0.00,0.01
Marcos Alonso\f4290206,es ESP,DF,eng Chelsea,338,0,0,0.00,0.00,0.6,0.5,0.16,0.14
Éder Álvarez Balanta\8ce30c57,co COL,MF,be Club Brugge,405,0,0,0.00,0.00,0.0,0.2,0.00,0.05
Edson Álvarez\8b3ab7ad,mx MEX,MF,nl Ajax,476,0,0,0.00,0.00,0.2,0.0,0.05,0.01
Mohamed Aly Camara\24fc70d3,gn GUI,DF,ch Young Boys,346,0,0,0.00,0.00,0.1,0.0,0.04,0.00
Benjamin André\ef9c1c95,fr FRA,MF,fr Lille,540,0,0,0.00,0.00,0.2,0.3,0.03,0.05
Oleksandr Andriyevskyi\4e3f5992,ua UKR,MF,ua Dynamo Kyiv,95,0,0,0.00,0.00,0.0,0.0,0.00,0.02
Angeliño\30941e96,es ESP,DF,de RB Leipzig,430,0,3,0.00,0.63,0.3,1.0,0.06,0.20
Marcos Antônio\108fe016,br BRA,MF,ua Shakhtar,256,0,0,0.00,0.00,0.0,0.1,0.01,0.05
Ronald Araújo\2bef2bca,uy URU,DF,es Barcelona,367,0,0,0.00,0.00,0.2,0.0,0.04,0.00
Danilo Arboleda\df418fc0,co COL,DF,md Sheriff Tiraspol,540,0,0,0.00,0.00,0.1,0.0,0.02,0.00
Maximilian Arnold\86e119e0,de GER,MF,de Wolfsburg,540,0,3,0.00,0.50,0.2,1.0,0.03,0.17
Kepa Arrizabalaga\28d596a0,es ESP,GK,eng Chelsea,90,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Giorgos Athanasiadis\55b93ae0,gr GRE,GK,md Sheriff Tiraspol,450,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Ludwig Augustinsson\9fec8860,se SWE,DF,es Sevilla,80,0,0,0.00,0.00,0.0,0.1,0.00,0.14
César Azpilicueta\53cad200,es ESP,DF,eng Chelsea,497,0,1,0.00,0.18,0.1,0.5,0.02,0.09
Eric Bailly\a1232f4e,ci CIV,DF,eng Manchester Utd,180,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Tiemoué Bakayoko\59bf127b,fr FRA,MF,it Milan,59,0,0,0.00,0.00,0.3,0.2,0.41,0.35
Alejandro Balde\5ccc9672,es ESP,DFFW,es Barcelona,21,0,0,0.00,0.00,0.0,0.0,0.15,0.12
Gareth Bale\a58bb1e1,wls WAL,FW,es Real Madrid,4,0,0,0.00,0.00,0.0,0.0,0.00,0.00
David von Ballmoos\f7b10c66,ch SUI,GK,ch Young Boys,270,0,0,0.00,0.00,0.0,0.2,0.00,0.06
Fodé Ballo-Touré\f449640d,sn SEN,DFMF,it Milan,91,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Jonathan Bamba\b2bd0f6c,fr FRA,MFFW,fr Lille,392,0,0,0.00,0.00,0.3,0.5,0.06,0.11
Nicolò Barella\6928979a,it ITA,MF,it Inter,493,0,0,0.00,0.00,0.7,1.1,0.12,0.21
Ross Barkley\3a24769f,eng ENG,MF,eng Chelsea,97,0,0,0.00,0.00,0.1,0.3,0.14,0.31
Wílmar Barrios\8e7f49d3,co COL,MFDF,ru Zenit,540,0,0,0.00,0.00,0.0,0.0,0.00,0.01
Alessandro Bastoni\75b86fb3,it ITA,DF,it Inter,577,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Michy Batshuayi\2973d8ff,be BEL,FW,tr Beşiktaş,384,0,0,0.00,0.00,1.6,0.1,0.37,0.03
Donny van de Beek\50dc94ce,nl NED,MF,eng Manchester Utd,204,0,0,0.00,0.00,0.1,0.0,0.04,0.00
Hatem Ben Arfa\74dc806c,fr FRA,MF,fr Lille,10,0,0,0.00,0.00,0.0,0.0,0.15,0.00
Ismaël Bennacer\db092d3b,dz ALG,MF,it Milan,375,0,0,0.00,0.00,0.1,0.1,0.03,0.02
Rodrigo Bentancur\3b8674e6,uy URU,MFFW,it Juventus,378,0,1,0.00,0.24,0.1,0.4,0.02,0.09
Federico Bernardeschi\ee93c1a9,it ITA,FWMF,it Juventus,281,0,2,0.00,0.64,0.7,1.6,0.21,0.51
